product_id,category,claims,ingredient_tags,pack_size
P001,electrolyte drink,"nut-free, clean-label","monk-fruit, oats, collagen",Single
P002,meal replacement,"plant-based, halal, kosher, low-sugar","whey, oats",Single
P003,proten shake,jain-friendly,monk-fruit,Single
P004,healthy snack,vegan,stevia,4-Pack
P005,meal replacement,"halal, low-sugar, vegan","whey, stevia",Single
P006,protein shake,"gluten-free, halal, kosher",,Single
P007,supplement,"keto-friendly, plant-based","oats, monk-fruit, soy",12-Pack
P008,protein bar,"diabetic-friendly, kosher","stevia, monk-fruit, almond-flour",Single
P009,electrolyte drink,clean-label,"collagen, soy",Single
P010,healthy snack,"clean-label, vegan, nut-free, kosher","pea-protein, oats, almond-flour",Single
P011,proten shake,"kosher, jain-friendly, plant-based",collagen,Single
P012,healthy snack,plant-based,"whey, monk-fruit",Single
P013,electrolyte drink,"kosher, diabetic-friendly, clean-label","soy, collagen",Single
P014,protein shake,"keto-friendly, gluten-free",pea-protein,4-Pack
P015,meal replacement,"clean-label, diabetic-friendly","soy, stevia, monk-fruit",Single
P016,protein shake,nut-free,soy,Single
P017,electrolyte drink,jain-friendly,"collagen, soy",4-Pack
P018,protein bar,diabetic-friendly,whey,Single
P019,meal replacement,"vegan, halal, high-protein",collagen,12-Pack
P020,electrolyte drink,"low-sugar, high-protein","collagen, oats, monk-fruit",4-Pack
P021,healthy snack,diabetic-friendly,"whey, soy",Single
P022,protein bar,"gluten-free, vegan, clean-label, keto-friendly","oats, whey",Single
P023,proten shake,plant-based,soy,4-Pack
P024,supplement,"gluten-free, kosher","almond-flour, pea-protein",Single
P025,meal replacement,"keto-friendly, vegan, low-sugar, diabetic-friendly","pea-protein, whey, soy",4-Pack
P026,electrolyte drink,"gluten-free, diabetic-friendly, vegan","almond-flour, whey",4-Pack
P027,protein shake,vegan,monk-fruit,12-Pack
P028,protein shake,"kosher, plant-based, clean-label, gluten-free",,Single
P029,proten shake,high-protein,"almond-flour, pea-protein",12-Pack
P030,electrolyte drink,"gluten-free, kosher",oats,Single
P031,healthy snack,"diabetic-friendly, jain-friendly",,Single
P032,protein bar,gluten-free,almond-flour,Single
P033,healthy snack,"clean-label, keto-friendly, high-protein",,Single
P034,proten shake,nut-free,soy,Single
P035,proten shake,"clean-label, vegan, keto-friendly, jain-friendly","monk-fruit, pea-protein",Single
P036,protein bar,high-protein,"oats, whey, pea-protein",4-Pack
P037,supplement,"halal, keto-friendly, low-sugar","soy, almond-flour",4-Pack
P038,protein bar,"high-protein, halal",pea-protein,Single
P039,protein shake,"halal, kosher, keto-friendly, nut-free",stevia,4-Pack
P040,supplement,"high-protein, jain-friendly, nut-free","stevia, almond-flour",Single
P041,healthy snack,"high-protein, gluten-free, diabetic-friendly, kosher","whey, oats",Single
P042,electrolyte drink,kosher,"whey, collagen",Single
P043,protein bar,"diabetic-friendly, high-protein, keto-friendly, clean-label",oats,Single
P044,supplement,high-protein,,4-Pack
P045,healthy snack,"plant-based, kosher, low-sugar","oats, stevia",Single
P046,supplement,"gluten-free, clean-label",whey,Single
P047,meal replacement,low-sugar,collagen,Single
P048,supplement,"nut-free, kosher, low-sugar","pea-protein, almond-flour, whey",4-Pack
P049,protein shake,"high-protein, gluten-free, diabetic-friendly, nut-free",pea-protein,Single
P050,healthy snack,"diabetic-friendly, gluten-free, kosher, high-protein","almond-flour, oats, pea-protein",4-Pack
P051,proten shake,"vegan, gluten-free, halal","collagen, soy",4-Pack
P052,healthy snack,"plant-based, low-sugar, kosher","monk-fruit, oats, almond-flour",Single
P053,healthy snack,vegan,stevia,Single
P054,supplement,"clean-label, jain-friendly, halal, vegan","pea-protein, soy, monk-fruit",12-Pack
P055,,"low-sugar, clean-label",,12-Pack
P056,proten shake,"vegan, diabetic-friendly, jain-friendly","oats, monk-fruit, collagen",Single
P057,supplement,"keto-friendly, gluten-free, jain-friendly","almond-flour, oats",12-Pack
P058,protein bar,"vegan, diabetic-friendly, kosher",stevia,Single
P059,protein shake,"gluten-free, kosher, low-sugar","monk-fruit, pea-protein",Single
P060,proten shake,"clean-label, jain-friendly, kosher","stevia, soy, almond-flour",12-Pack
P061,supplement,"vegan, high-protein, keto-friendly",,4-Pack
P062,protein bar,"clean-label, diabetic-friendly, plant-based","soy, pea-protein",Single
P063,protein bar,"low-sugar, keto-friendly, jain-friendly",monk-fruit,12-Pack
P064,electrolyte drink,"nut-free, clean-label, diabetic-friendly","oats, monk-fruit, whey",12-Pack
P065,,"nut-free, low-sugar","whey, stevia",Single
P066,protein bar,"nut-free, gluten-free, kosher",oats,Single
P067,supplement,halal,"collagen, almond-flour, oats",Single
P068,healthy snack,"keto-friendly, clean-label, gluten-free","pea-protein, oats",Single
P069,meal replacement,plant-based,oats,Single
P070,protein bar,"high-protein, vegan",monk-fruit,Single
P071,protein bar,"plant-based, high-protein, keto-friendly",whey,Single
P072,,"gluten-free, low-sugar, halal, kosher","monk-fruit, stevia",4-Pack
P073,protein bar,"jain-friendly, high-protein, halal, keto-friendly","oats, collagen, almond-flour",Single
P074,proten shake,"high-protein, gluten-free, clean-label, plant-based",almond-flour,Single
P075,meal replacement,"halal, clean-label, gluten-free, vegan","monk-fruit, whey, pea-protein",4-Pack
P076,meal replacement,"kosher, gluten-free, plant-based","whey, monk-fruit, almond-flour",Single
P077,protein bar,diabetic-friendly,"oats, collagen",12-Pack
P078,,"halal, vegan, keto-friendly, clean-label",whey,Single
P079,meal replacement,"plant-based, clean-label, halal",,Single
P080,healthy snack,"jain-friendly, clean-label, keto-friendly",whey,Single
P081,protein bar,"vegan, nut-free",pea-protein,12-Pack
P082,protein bar,nut-free,"oats, almond-flour, soy",Single
P083,proten shake,"diabetic-friendly, keto-friendly",oats,4-Pack
P084,supplement,"halal, clean-label","soy, almond-flour",Single
P085,protein bar,kosher,"monk-fruit, oats, pea-protein",4-Pack
P086,protein bar,"plant-based, gluten-free, nut-free","monk-fruit, collagen, soy",Single
P087,proten shake,"high-protein, gluten-free, halal","stevia, monk-fruit",Single
